"PlayTime";"LoadValue";"PositionValue";"ExtendValue";"BigDeformValue";"ExtendDevice1";"ExtendDevice2";"ExtendDevice3";"ExtendDevice4";"ExtendDevice5";"ExtendDevice6"
"s";"N";"mm";"mm";"mm";"mm";"mm";"mm";"mm";"mm";"mm"
2.0333330000;83.4436900000;0.0632333700;0.0051535820;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.0666670000;83.6067000000;0.0643419000;0.0051025560;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.1000000000;83.7493400000;0.0654504300;0.0050005050;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.1333330000;83.8512300000;0.0665589600;0.0049494790;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.1666670000;83.9734900000;0.0676674900;0.0048984540;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.2000000000;84.0753800000;0.0687760200;0.0048984540;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.2333330000;84.1568800000;0.0699081300;0.0048474280;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.2666670000;84.2180200000;0.0709930800;0.0048474280;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.3000000000;84.2587700000;0.0721016100;0.0047453770;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.3333330000;84.2995200000;0.0732101400;0.0046943510;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.3666670000;84.3810300000;0.0743422500;0.0046433260;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.4000000000;84.4217800000;0.0754272000;0.0046943510;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.4333330000;84.4014100000;0.0765357200;0.0046433260;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.4666670000;84.3810300000;0.0776442600;0.0045412750;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.5000000000;84.4014100000;0.0787763700;0.0045412750;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.5333330000;84.3606500000;0.0798849000;0.0044902490;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.5666670000;84.3810300000;0.0809934300;0.0044902490;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.6000000000;84.3606500000;0.0821255400;0.0044902490;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.6333330000;84.3199000000;0.0832104900;0.0044392240;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.6666670000;84.2180200000;0.0843190200;0.0043881980;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.7000000000;84.1365100000;0.0854275500;0.0044902490;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.7333330000;84.0957500000;0.0865360800;0.0045923000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.7666670000;83.9938700000;0.0876446100;0.0045412750;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.8000000000;83.9327400000;0.0887531400;0.0044902490;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.8333330000;83.8716000000;0.0898852600;0.0044392240;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.8666670000;83.7901000000;0.0909937800;0.0044392240;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.9000000000;83.6882100000;0.0921023100;0.0045412750;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.9333330000;83.5659500000;0.0932108500;0.0045412750;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.9666670000;83.4640700000;0.0943429600;0.0043881980;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.0000000000;83.3418000000;0.0954514900;0.0043881980;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.0333330000;83.2195400000;0.0965600200;0.0043881980;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.0666670000;83.1584100000;0.0976685500;0.0044392240;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.1000000000;83.1380300000;0.0987770800;0.0044902490;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.1333330000;83.0972800000;0.0999091900;0.0044902490;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.1666670000;83.0769000000;0.1009941000;0.0044392240;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.2000000000;83.0361500000;0.1021263000;0.0043371720;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.2333330000;83.0157700000;0.1032348000;0.0044392240;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.2666670000;83.0361500000;0.1043433000;0.0044392240;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.3000000000;82.9954000000;0.1054518000;0.0043881980;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.3333330000;82.9546400000;0.1065604000;0.0043881980;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.3666670000;82.9342700000;0.1076689000;0.0043881980;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.4000000000;82.9750200000;0.1087774000;0.0043881980;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.4333330000;83.0769000000;0.1098860000;0.0043371720;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.4666670000;83.2195400000;0.1109945000;0.0042861470;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.5000000000;83.3418000000;0.1121266000;0.0043881980;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.5333330000;83.5252000000;0.1132115000;0.0042861470;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.5666670000;83.7085900000;0.1143201000;0.0043371720;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.6000000000;83.9327400000;0.1154286000;0.0042861470;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.6333330000;84.1976400000;0.1165371000;0.0042351210;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.6666670000;84.5848000000;0.1176457000;0.0042351210;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.7000000000;85.0127200000;0.1187542000;0.0040820450;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.7333330000;85.4202600000;0.1198863000;0.0041840960;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.7666670000;85.8481800000;0.1209948000;0.0040310190;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.8000000000;86.2149600000;0.1221034000;0.0039289680;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.8333330000;86.5817400000;0.1232355000;0.0039289680;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.8666670000;86.9892800000;0.1243204000;0.0038779430;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.9000000000;87.3764400000;0.1254290000;0.0038269170;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.9333330000;87.7432300000;0.1265611000;0.0037758910;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
3.9666670000;88.1100200000;0.1276696000;0.0037248660;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
4.0000000000;88.4564200000;0.1287781000;0.0036228150;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
4.0333330000;88.8028300000;0.1299103000;0.0036228150;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
4.0666670000;89.1492400000;0.1309952000;0.0035207640;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
